Run,Date,Instrument,Plate,Sample,Channels,Count,Copies per microliter,Total,Well
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,NTC,,20236,0.00,20328,A1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,NTC,VIC,88,10.04,20328,A1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,NTC,FAM,4,0.46,20328,A1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,NTC,FAM VIC,0,0.00,0,A1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_22_2,,20243,0.00,20383,A3
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_22_2,VIC,137,15.61,20383,A3
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_22_2,FAM,1,0.11,20383,A3
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_22_2,FAM VIC,2,0.23,20383,A3
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_24_2,,19969,0.00,20347,A4
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_24_2,VIC,373,42.83,20347,A4
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_24_2,FAM,3,0.34,20347,A4
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_24_2,FAM VIC,2,0.23,20347,A4
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,PC,,18934,0.00,20400,B1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,PC,VIC,1299,152.30,20400,B1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,PC,FAM,161,18.34,20400,B1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,PC,FAM VIC,6,0.68,20400,B1
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_21_1,,20402,0.00,20404,B2
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_21_1,VIC,1,0.11,20404,B2
TERT_146_plate3_reruns_260414,2026-04-14 14:35:59.569738+00:00,2262724051357,M01KC242000351,UM_2025_21_1,FAM,1,0.11,20404,B2
